;Pos;Wks;T10;Pk;X?;PkStreams;Total;ARTIST URL;TRACK;song name;album;artist;release_date;length;popularity;danceability;acousticness;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;mode;valence;key;release_month;Top100;Top1000;Top2000;Top2500;music_story_id;instagram_url;instagram_username;instagram_followers
0;1;218;34;1;(x14);64217796;2726385847;6eUKZXaKkcviH0Ku9w2n3V;7qiZfU4dY1lWllzX7mPBI3;Shape of You;÷ (Deluxe);Ed Sheeran;2017-03-03;233712;85;0.825;0.581;0.652;0.0;0.0931;-3.183;0.0802;95.977;4;0;0.931;1;3;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
1;4395;1;;178;;3252752;3252752;6eUKZXaKkcviH0Ku9w2n3V;1KqvRRQd3lfM0pAlkGPrgD;Shape of You;÷ (Deluxe);Ed Sheeran;2017-03-03;233712;85;0.825;0.581;0.652;0.0;0.0931;-3.183;0.0802;95.977;4;0;0.931;1;3;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
2;12;211;15;4;;24763619;1644941052;6eUKZXaKkcviH0Ku9w2n3V;0tgVpDi06FyKpA1z0VMD4v;Perfect;÷ (Deluxe);Ed Sheeran;2017-03-03;263400;86;0.599;0.163;0.448;0.0;0.106;-6.312;0.0232;95.05;3;1;0.168;8;3;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
3;12;211;15;4;;24763619;1644941052;6eUKZXaKkcviH0Ku9w2n3V;0tgVpDi06FyKpA1z0VMD4v;Perfect;Made In The A.M. (Deluxe Edition);One Direction;2015-11-13;230333;76;0.647;0.0598;0.823;0.0;0.119;-5.231;0.0762;99.933;4;1;0.396;2;11;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
4;12;211;15;4;;24763619;1644941052;6eUKZXaKkcviH0Ku9w2n3V;0tgVpDi06FyKpA1z0VMD4v;Perfect;No Pressure;Logic;2020-07-24;100291;71;0.769;0.00948;0.829;6.65e-05;0.301;-5.228;0.0661;159.943;4;1;0.648;0;7;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
5;233;91;1;10;;23545568;476467704;6eUKZXaKkcviH0Ku9w2n3V;2RttW7RAu5nOAfq6YFvApB;Happier;Happier;Marshmello;2018-08-17;214289;84;0.687;0.191;0.792;0.0;0.167;-2.749;0.0452;100.015;4;1;0.671;5;8;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
6;233;91;1;10;;23545568;476467704;6eUKZXaKkcviH0Ku9w2n3V;2RttW7RAu5nOAfq6YFvApB;Happier;÷ (Deluxe);Ed Sheeran;2017-03-03;207520;81;0.522;0.536;0.385;0.0;0.135;-7.355;0.0288;89.792;4;1;0.236;0;3;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
7;27;241;22;1;(x2);12966533;1256739061;6eUKZXaKkcviH0Ku9w2n3V;34gCuhDGsG4bRPIf9bb02f;Thinking out Loud;x (Deluxe Edition);Ed Sheeran;2014-06-21;281560;83;0.781;0.474;0.445;0.0;0.184;-6.061;0.0295;78.998;4;1;0.591;2;6;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
8;32;258;;15;;8088843;1195420673;6eUKZXaKkcviH0Ku9w2n3V;6fxVffaTuwjgEk5h9QyRjy;Photograph;x (Wembley Edition);Ed Sheeran;2013;258986;66;0.614;0.607;0.379;0.000464;0.0986;-10.48;0.0476;107.989;4;1;0.201;4;1;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
9;32;258;;15;;8088843;1195420673;6eUKZXaKkcviH0Ku9w2n3V;6fxVffaTuwjgEk5h9QyRjy;Photograph;KOD;J. Cole;2018-04-20;218953;62;0.691;0.0299;0.487;0.0;0.0868;-6.416;0.268;104.98;3;1;0.358;1;4;1;1;1;1;162148;http://instagram.com/edsheeran;edsheeran;1035864.0
